ADDRESS;CITY;ENTITY_ID;LATITUDE;LOADER_TYPE;LONGITUDE;NUMBER_OF_CHARGING_POINTS;OPERATING_COMPANY;PLUG_TYPES_1;PLUG_TYPES_2;PLUG_TYPES_3;PLUG_TYPES_4;POWER_1_KW;POWER_2_KW;POWER_3_KW;POWER_4_KW;START_UP_DATE;ZIP_CODE
Wiestorstr. 25;Überlingen;6851;47.768975;Normalladeeinrichtung;9.162205;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;26.11.12;88662
Dornierstr. 0;Markdorf;6852;47.714816;Normalladeeinrichtung;9.402672;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;30.11.18;88677
Am Anger 99;Markdorf;6853;47.712531;Normalladeeinrichtung;9.385918;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;30.11.18;88677
Bussenstr. 1;Markdorf;6854;47.721509;Normalladeeinrichtung;9.389306;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;30.11.18;88677
Eisenbahnstr. 1;Markdorf;6855;47.717154;Normalladeeinrichtung;9.388316;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;30.11.18;88677
Eisenbahnstr. 1;Markdorf;6856;47.717154;Normalladeeinrichtung;9.388316;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;07.08.14;88677
Bahnhofstraße 126;Salem;6857;47.757994;Normalladeeinrichtung;9.296272;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;20.07.18;88682
Im Schlossbezirk 2;Salem;6858;47.778123;Normalladeeinrichtung;9.280898;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;20.07.18;88682
Bahnhofstr. 126;Salem;6859;47.757994;Normalladeeinrichtung;9.296272;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;14.10.18;88682
Im Schlossbezirk 2;Salem;6860;47.778123;Normalladeeinrichtung;9.280898;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;14.10.18;88682
Bahnhofstr. 126;Salem;6861;47.757994;Normalladeeinrichtung;9.296272;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;07.08.14;88682
